,Attrition,Business Travel,CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
330,No,Travel_Frequently,35 - 44,R&D,Life Sciences,448,Female,Laboratory Technician,Divorced,No,3,43,10,Master's Degree,3,2,2,3,5257,1,11,3,2,1,9,4,9,7,0,0
331,No,Non-Travel,25 - 34,Sales,Marketing,449,Male,Sales Executive,Married,Yes,0,27,1,High School,3,3,2,2,6349,0,13,3,4,1,6,3,5,4,1,4
332,No,Travel_Frequently,45 - 54,R&D,Life Sciences,450,Female,Research Scientist,Single,No,4,54,20,Master's Degree,4,3,2,3,4869,3,12,3,4,0,20,2,4,3,0,3
333,No,Travel_Rarely,35 - 44,R&D,Life Sciences,451,Female,Healthcare Representative,Married,No,1,43,7,Bachelor's Degree,3,3,3,1,9985,8,16,3,1,1,10,2,1,0,0,0
334,No,Travel_Rarely,45 - 54,R&D,Other,452,Male,Research Scientist,Married,No,3,45,8,Master's Degree,4,3,2,4,3697,9,14,3,1,2,12,3,10,9,9,8
335,No,Travel_Rarely,35 - 44,Sales,Medical,453,Male,Sales Executive,Married,Yes,2,40,1,Associates Degree,2,1,2,4,7457,2,22,4,3,3,6,2,4,3,0,2
336,Yes,Travel_Rarely,25 - 34,R&D,Other,454,Male,Laboratory Technician,Married,Yes,4,29,8,Master's Degree,2,1,1,1,2119,1,11,3,4,0,7,2,7,7,0,7
337,No,Travel_Rarely,25 - 34,R&D,Other,455,Male,Laboratory Technician,Single,No,2,29,9,Doctoral Degree,2,2,1,4,3983,0,17,3,3,0,4,3,3,2,2,2
338,No,Travel_Rarely,25 - 34,Sales,Marketing,456,Female,Sales Executive,Divorced,No,2,30,5,Bachelor's Degree,4,2,2,3,6118,1,13,3,3,3,10,3,10,9,1,2
339,No,Travel_Rarely,25 - 34,Sales,Marketing,458,Female,Sales Executive,Married,No,3,27,8,Master's Degree,2,3,2,2,6214,1,18,3,1,1,8,3,8,7,0,7
340,No,Travel_Rarely,35 - 44,R&D,Medical,460,Male,Manufacturing Director,Divorced,No,2,37,5,Associates Degree,4,3,2,4,6347,7,16,3,3,2,8,2,6,2,0,4
341,No,Travel_Rarely,35 - 44,R&D,Life Sciences,461,Male,Research Director,Divorced,Yes,3,38,15,Associates Degree,3,2,3,4,11510,0,14,3,2,1,12,3,11,10,2,9
342,No,Travel_Rarely,25 - 34,R&D,Medical,462,Female,Manufacturing Director,Single,Yes,2,31,7,Master's Degree,3,3,3,4,7143,1,14,3,3,0,11,2,11,9,4,10
343,No,Travel_Rarely,25 - 34,Sales,Marketing,463,Female,Sales Executive,Divorced,Yes,2,29,10,High School,4,2,2,2,8268,1,14,3,1,2,7,3,7,7,1,7
344,No,Travel_Rarely,35 - 44,R&D,Technical Degree,464,Male,Manufacturing Director,Single,No,5,35,5,Master's Degree,3,3,3,2,8095,0,13,3,4,0,17,3,16,6,0,13
345,No,Travel_Rarely,Under 25,R&D,Life Sciences,465,Male,Research Scientist,Divorced,No,2,23,26,High School,3,3,1,4,2904,1,12,3,3,2,4,2,4,2,0,2
346,No,Travel_Rarely,35 - 44,R&D,Medical,466,Male,Manufacturing Director,Single,Yes,3,41,6,Bachelor's Degree,4,2,2,2,6032,6,15,3,4,0,8,3,5,4,1,2
347,No,Travel_Frequently,45 - 54,Sales,Medical,467,Male,Sales Representative,Single,No,3,47,4,High School,2,3,2,3,2976,3,19,3,1,0,5,3,0,0,0,0
348,No,Travel_Rarely,35 - 44,R&D,Life Sciences,468,Female,Research Director,Single,No,2,42,23,Doctoral Degree,1,3,4,4,15992,2,14,3,2,0,16,3,1,0,0,0
349,No,Non-Travel,25 - 34,Sales,Life Sciences,469,Male,Sales Executive,Married,No,3,29,2,Bachelor's Degree,4,3,2,3,4649,1,14,3,1,1,4,2,4,3,0,2
350,No,Travel_Rarely,35 - 44,HR,Technical Degree,470,Male,Human Resources,Divorced,Yes,5,42,2,High School,3,3,1,3,2696,0,11,3,3,1,4,3,3,2,1,0
351,No,Travel_Rarely,25 - 34,R&D,Medical,471,Female,Laboratory Technician,Married,No,4,32,2,Bachelor's Degree,3,3,1,2,2370,1,13,3,3,1,8,3,8,0,0,7
352,No,Travel_Rarely,45 - 54,Sales,Medical,473,Female,Manager,Married,No,3,48,29,High School,1,3,3,3,12504,3,21,4,2,1,15,1,0,0,0,0
353,No,Travel_Rarely,35 - 44,R&D,Medical,474,Male,Research Scientist,Divorced,Yes,2,37,6,Bachelor's Degree,3,4,2,1,5974,4,13,3,1,2,13,3,7,7,6,7
354,No,Non-Travel,25 - 34,Sales,Technical Degree,475,Female,Sales Executive,Married,Yes,2,30,25,Associates Degree,4,3,2,3,4736,7,12,3,2,1,4,4,2,2,2,2
355,No,Travel_Rarely,25 - 34,Sales,Life Sciences,476,Male,Sales Executive,Married,No,3,26,1,Bachelor's Degree,3,3,2,3,5296,1,17,3,2,1,8,3,8,7,7,7
356,No,Travel_Rarely,35 - 44,R&D,Other,477,Male,Healthcare Representative,Single,No,6,42,2,Master's Degree,1,2,2,4,6781,3,23,4,2,0,14,3,1,0,0,0
357,Yes,Travel_Frequently,Under 25,Sales,Technical Degree,478,Female,Sales Representative,Single,Yes,3,21,1,High School,1,2,1,2,2174,1,11,3,3,0,3,3,3,2,1,2
358,No,Non-Travel,35 - 44,Sales,Medical,479,Female,Sales Executive,Single,No,6,36,1,Doctoral Degree,4,3,2,4,6653,4,15,3,2,0,7,3,1,0,0,0
359,No,Travel_Frequently,35 - 44,Sales,Medical,481,Male,Sales Executive,Married,No,2,36,3,Master's Degree,1,2,3,4,9699,4,11,3,1,1,16,3,13,9,1,12
360,No,Travel_Rarely,Over 55,R&D,Medical,482,Male,Healthcare Representative,Married,No,2,57,1,Master's Degree,4,3,2,3,6755,2,11,3,3,0,15,3,3,2,1,2
361,No,Travel_Rarely,35 - 44,R&D,Life Sciences,483,Female,Laboratory Technician,Married,Yes,3,40,10,Master's Degree,4,4,1,3,2213,3,13,3,3,1,10,3,7,7,1,7
362,No,Non-Travel,Under 25,Sales,Medical,484,Male,Sales Representative,Single,No,3,21,9,Associates Degree,1,3,1,4,2610,1,24,4,3,0,3,2,3,2,2,2
363,Yes,Travel_Rarely,25 - 34,Sales,Marketing,485,Female,Sales Representative,Single,Yes,2,33,5,Bachelor's Degree,4,3,1,3,2851,1,13,3,2,0,1,3,1,0,0,0
364,No,Travel_Rarely,35 - 44,R&D,Medical,486,Female,Laboratory Technician,Married,No,3,37,10,Bachelor's Degree,3,3,1,1,3452,6,20,4,2,1,17,3,5,4,0,3
365,No,Non-Travel,45 - 54,R&D,Medical,487,Female,Manufacturing Director,Married,No,2,46,7,Master's Degree,3,3,2,3,5258,2,14,3,3,0,7,4,1,0,0,0
366,Yes,Travel_Frequently,35 - 44,Sales,Marketing,488,Male,Sales Executive,Single,No,5,41,4,Bachelor's Degree,1,3,2,2,9355,1,18,3,3,0,8,3,8,7,7,7
367,No,Travel_Rarely,45 - 54,R&D,Technical Degree,491,Male,Healthcare Representative,Single,No,2,50,10,Bachelor's Degree,4,2,3,4,10496,6,15,3,4,0,20,3,4,3,1,3
368,Yes,Travel_Rarely,35 - 44,Sales,Marketing,492,Male,Sales Executive,Married,Yes,6,40,22,Associates Degree,3,2,2,3,6380,2,12,3,1,2,8,3,6,4,1,0
369,No,Travel_Rarely,25 - 34,R&D,Life Sciences,493,Male,Research Scientist,Single,Yes,5,31,9,Master's Degree,3,2,1,2,2657,0,16,3,4,0,3,3,2,2,2,2
370,Yes,Travel_Rarely,Under 25,Sales,Life Sciences,494,Female,Sales Representative,Single,No,0,21,12,Bachelor's Degree,3,4,1,2,2716,1,15,3,4,0,1,3,1,0,0,0
371,No,Travel_Rarely,25 - 34,R&D,Life Sciences,495,Male,Research Scientist,Single,No,4,29,23,Bachelor's Degree,4,3,1,4,2201,9,16,3,4,0,6,3,3,2,1,2
372,No,Travel_Rarely,35 - 44,R&D,Life Sciences,496,Male,Healthcare Representative,Single,No,5,35,9,Master's Degree,3,2,2,2,6540,9,19,3,3,0,10,3,1,1,0,0
373,No,Travel_Rarely,25 - 34,R&D,Medical,497,Male,Laboratory Technician,Divorced,No,2,27,1,Associates Degree,4,3,1,2,3816,1,11,3,2,1,5,3,5,2,0,4
374,No,Travel_Rarely,25 - 34,Sales,Life Sciences,498,Male,Sales Executive,Single,No,1,28,9,Master's Degree,2,3,2,4,5253,1,16,3,4,0,7,3,7,5,0,7
375,No,Travel_Rarely,45 - 54,R&D,Other,499,Male,Healthcare Representative,Single,No,2,49,7,Bachelor's Degree,2,2,3,3,10965,8,24,4,3,0,26,3,5,2,0,0
376,No,Travel_Rarely,45 - 54,Sales,Life Sciences,500,Female,Sales Executive,Married,No,2,51,14,Associates Degree,3,3,2,4,4936,4,11,3,3,1,18,2,7,7,0,7
377,No,Travel_Rarely,35 - 44,R&D,Life Sciences,501,Female,Research Scientist,Married,No,3,36,2,Bachelor's Degree,4,3,1,3,2543,4,13,3,2,1,6,3,2,2,2,2
378,Yes,Non-Travel,25 - 34,Sales,Marketing,502,Male,Sales Executive,Single,Yes,3,34,19,Bachelor's Degree,1,4,2,4,5304,8,13,3,2,0,9,2,5,2,0,4
379,No,Travel_Rarely,Over 55,R&D,Life Sciences,505,Female,Manager,Single,Yes,2,55,2,Bachelor's Degree,3,3,4,4,16659,2,13,3,3,0,30,3,5,4,1,2
380,No,Travel_Rarely,Under 25,Sales,Marketing,507,Female,Sales Executive,Divorced,Yes,2,24,10,Master's Degree,4,3,2,3,4260,1,12,3,4,1,5,4,5,2,0,3
381,No,Travel_Rarely,25 - 34,Sales,Technical Degree,508,Male,Sales Representative,Married,No,3,30,2,High School,3,3,1,2,2476,1,18,3,1,1,1,3,1,0,0,0
382,Yes,Travel_Frequently,25 - 34,R&D,Technical Degree,510,Male,Research Scientist,Single,No,2,26,3,High School,3,3,1,1,3102,0,22,4,3,0,7,3,6,4,0,4
383,No,Travel_Rarely,Under 25,R&D,Medical,511,Female,Research Scientist,Married,No,1,22,11,Bachelor's Degree,1,3,1,2,2244,1,13,3,4,1,2,3,2,1,1,2
384,No,Travel_Rarely,35 - 44,Sales,Medical,513,Male,Sales Executive,Married,No,2,36,2,Associates Degree,2,2,3,3,7596,1,13,3,2,2,10,3,10,9,9,0
385,Yes,Travel_Frequently,25 - 34,R&D,Technical Degree,514,Male,Research Scientist,Single,Yes,4,30,4,Bachelor's Degree,3,3,1,4,2285,9,23,4,3,0,3,3,1,0,0,0
386,No,Travel_Rarely,35 - 44,R&D,Life Sciences,515,Female,Laboratory Technician,Divorced,No,2,37,14,Bachelor's Degree,4,3,1,1,3034,1,12,3,3,1,18,2,18,7,12,17
387,No,Travel_Rarely,35 - 44,Sales,Marketing,516,Female,Sales Executive,Divorced,No,5,40,2,Associates Degree,4,3,2,2,5715,7,12,3,3,2,8,3,5,4,1,3
388,No,Travel_Rarely,35 - 44,R&D,Life Sciences,517,Female,Laboratory Technician,Divorced,No,5,42,1,Master's Degree,2,3,1,1,2576,3,16,3,2,1,8,3,5,2,1,2
389,No,Travel_Rarely,35 - 44,R&D,Life Sciences,518,Male,Manufacturing Director,Single,Yes,2,37,10,Master's Degree,3,3,2,2,4197,2,12,3,4,0,18,2,1,0,0,1
390,No,Travel_Rarely,35 - 44,R&D,Life Sciences,520,Male,Research Director,Divorced,No,3,43,12,Bachelor's Degree,1,2,4,2,14336,1,11,3,3,1,25,3,25,10,3,9
391,No,Travel_Rarely,35 - 44,R&D,Medical,521,Female,Laboratory Technician,Married,No,3,40,2,Bachelor's Degree,2,2,2,3,3448,6,22,4,2,1,20,3,1,0,0,0
392,No,Travel_Rarely,45 - 54,R&D,Medical,522,Male,Research Director,Married,No,4,54,5,Associates Degree,1,3,5,1,19406,4,11,3,3,1,24,2,4,2,1,2
393,No,Non-Travel,25 - 34,Sales,Marketing,523,Female,Sales Executive,Married,No,3,34,4,Master's Degree,3,3,2,3,6538,9,15,3,1,1,6,3,3,2,1,2
394,No,Travel_Rarely,25 - 34,R&D,Medical,524,Female,Manufacturing Director,Married,No,5,31,7,Associates Degree,2,3,2,1,4306,1,12,3,2,1,13,1,13,10,3,12
395,No,Travel_Frequently,35 - 44,R&D,Medical,525,Male,Laboratory Technician,Married,No,1,43,21,Bachelor's Degree,4,3,1,4,2258,7,20,4,1,1,8,3,3,2,1,2
396,No,Travel_Rarely,35 - 44,R&D,Other,526,Female,Healthcare Representative,Divorced,Yes,3,43,8,Master's Degree,3,3,2,3,4522,4,14,3,4,0,8,3,5,2,0,2
397,No,Travel_Rarely,25 - 34,Sales,Life Sciences,527,Female,Sales Executive,Single,Yes,3,25,4,Associates Degree,2,2,2,4,4487,1,11,3,2,0,5,3,5,4,1,3
398,No,Non-Travel,35 - 44,R&D,Medical,529,Female,Research Scientist,Married,Yes,2,37,25,Doctoral Degree,2,3,2,3,4449,3,15,3,1,2,15,3,13,11,10,7
399,No,Travel_Rarely,25 - 34,R&D,Life Sciences,530,Male,Laboratory Technician,Married,No,3,31,1,Associates Degree,4,2,1,1,2218,1,12,3,3,1,4,3,4,2,3,2
400,No,Travel_Frequently,35 - 44,R&D,Life Sciences,531,Male,Manager,Divorced,Yes,3,39,1,High School,2,3,5,3,19197,1,14,3,3,1,21,3,21,8,1,6
401,No,Travel_Frequently,Over 55,Sales,Life Sciences,532,Female,Sales Executive,Married,No,0,56,6,Bachelor's Degree,3,4,4,1,13212,9,11,3,4,3,36,2,7,7,7,7
402,No,Travel_Rarely,25 - 34,Sales,Technical Degree,533,Female,Sales Executive,Single,No,6,30,12,Bachelor's Degree,2,3,2,3,6577,0,11,3,2,0,6,3,5,4,4,4
403,No,Travel_Rarely,35 - 44,Sales,Marketing,534,Male,Sales Executive,Married,No,2,41,1,Bachelor's Degree,2,4,3,1,8392,1,16,3,3,1,10,3,10,7,0,7
404,No,Travel_Rarely,25 - 34,R&D,Medical,536,Male,Laboratory Technician,Divorced,No,2,28,17,Associates Degree,3,3,2,1,4558,1,12,3,4,1,10,3,10,0,1,8
405,Yes,Travel_Rarely,25 - 34,R&D,Medical,538,Male,Laboratory Technician,Married,No,5,25,3,Bachelor's Degree,1,3,1,1,4031,5,13,3,3,1,6,3,2,2,0,2
406,No,Travel_Rarely,45 - 54,R&D,Medical,543,Male,Manufacturing Director,Married,Yes,4,52,3,Bachelor's Degree,4,2,3,3,7969,2,14,3,3,0,28,3,5,4,0,4
407,No,Travel_Rarely,45 - 54,R&D,Life Sciences,544,Male,Research Scientist,Married,No,3,45,10,Associates Degree,1,3,1,4,2654,3,21,4,4,2,8,2,2,2,0,2
408,No,Travel_Rarely,45 - 54,R&D,Life Sciences,546,Female,Manager,Married,No,2,52,4,Associates Degree,4,3,4,4,16555,2,13,3,4,0,31,1,5,2,1,4
409,No,Travel_Frequently,35 - 44,R&D,Life Sciences,547,Female,Research Scientist,Divorced,No,3,42,29,Associates Degree,1,3,2,3,4556,2,11,3,2,1,19,3,5,4,0,2
410,No,Travel_Rarely,25 - 34,R&D,Life Sciences,548,Female,Manufacturing Director,Single,No,2,30,2,Bachelor's Degree,3,1,2,4,6091,2,20,4,3,0,11,3,5,4,0,2
411,No,Travel_Rarely,Over 55,R&D,Life Sciences,549,Female,Manager,Married,No,5,60,7,Bachelor's Degree,1,3,5,1,19566,5,11,3,4,0,33,1,29,8,11,10
412,No,Travel_Rarely,45 - 54,R&D,Medical,550,Female,Manufacturing Director,Divorced,No,5,46,18,Bachelor's Degree,3,3,2,3,4810,2,14,3,3,1,19,2,10,7,0,8
413,No,Travel_Frequently,35 - 44,R&D,Technical Degree,551,Female,Healthcare Representative,Married,No,4,42,28,Master's Degree,4,2,2,4,4523,0,11,3,4,3,7,4,6,5,0,4
414,Yes,Travel_Rarely,Under 25,Sales,Technical Degree,554,Female,Sales Representative,Single,Yes,4,24,1,High School,1,3,1,2,3202,1,16,3,2,0,6,3,5,3,1,4
415,Yes,Travel_Frequently,25 - 34,Sales,Marketing,555,Female,Sales Representative,Divorced,No,3,34,6,Associates Degree,4,1,1,3,2351,0,16,3,4,1,3,2,2,2,1,0
416,No,Travel_Frequently,35 - 44,R&D,Life Sciences,556,Male,Laboratory Technician,Married,Yes,3,38,2,Associates Degree,4,3,1,4,1702,1,23,4,3,1,1,3,1,0,0,0
417,No,Travel_Rarely,35 - 44,Sales,Life Sciences,558,Female,Manager,Married,No,2,40,2,Master's Degree,3,3,5,3,18041,0,14,3,4,0,21,3,20,15,1,12
418,No,Travel_Rarely,25 - 34,R&D,Life Sciences,560,Female,Research Scientist,Divorced,No,3,26,23,Bachelor's Degree,1,3,1,4,2886,1,22,4,2,2,3,1,3,2,0,2
419,No,Non-Travel,25 - 34,R&D,Life Sciences,562,Male,Laboratory Technician,Married,No,3,30,3,Bachelor's Degree,3,3,1,4,2097,4,15,3,3,1,9,1,5,3,1,4
420,No,Travel_Rarely,25 - 34,R&D,Medical,564,Male,Research Director,Married,No,2,29,3,Master's Degree,2,2,3,3,11935,1,18,3,3,0,10,3,10,2,0,7
421,Yes,Travel_Rarely,25 - 34,R&D,Technical Degree,565,Female,Research Scientist,Married,No,2,29,25,Doctoral Degree,3,2,1,2,2546,5,16,3,2,0,6,4,2,2,1,1
422,Yes,Travel_Rarely,Under 25,HR,Technical Degree,566,Male,Human Resources,Single,No,3,19,2,Associates Degree,1,2,1,4,2564,1,12,3,3,0,1,4,1,0,0,0
423,No,Non-Travel,25 - 34,Sales,Other,567,Female,Sales Executive,Married,No,3,30,22,Master's Degree,3,3,3,1,8412,0,11,3,3,0,10,3,9,8,7,8
424,No,Travel_Rarely,Over 55,Sales,Marketing,568,Male,Manager,Divorced,No,3,57,29,Bachelor's Degree,1,2,4,4,14118,3,12,3,3,1,32,2,1,0,0,0
425,No,Travel_Rarely,45 - 54,R&D,Life Sciences,569,Male,Manager,Married,No,2,50,29,Master's Degree,2,2,4,3,17046,0,15,3,2,1,28,3,27,10,15,7
426,No,Non-Travel,25 - 34,R&D,Medical,571,Female,Laboratory Technician,Single,No,2,30,2,Bachelor's Degree,3,3,1,4,2564,0,14,3,3,0,12,2,11,7,6,7
427,No,Travel_Frequently,Over 55,Sales,Marketing,573,Female,Sales Executive,Married,No,5,60,28,Bachelor's Degree,3,2,3,1,10266,4,19,3,4,0,22,4,18,13,13,11
428,No,Travel_Rarely,45 - 54,R&D,Medical,574,Female,Manufacturing Director,Divorced,No,2,47,2,Associates Degree,1,3,2,4,5070,5,13,3,3,3,20,3,5,0,0,4
429,No,Travel_Rarely,45 - 54,R&D,Life Sciences,575,Male,Research Director,Married,No,2,46,2,Bachelor's Degree,1,3,4,3,17861,6,13,3,3,0,26,1,3,2,0,1
430,No,Travel_Rarely,35 - 44,R&D,Life Sciences,577,Male,Laboratory Technician,Single,No,2,35,22,Bachelor's Degree,4,1,1,3,4230,0,15,3,3,0,6,3,5,4,4,3
431,No,Travel_Rarely,45 - 54,R&D,Life Sciences,578,Female,Laboratory Technician,Single,No,3,54,8,Master's Degree,3,3,2,3,3780,7,11,3,3,0,19,3,1,0,0,0
432,No,Travel_Rarely,25 - 34,R&D,Life Sciences,579,Male,Research Scientist,Divorced,No,3,34,2,Master's Degree,4,2,1,3,2768,3,12,3,3,1,14,3,7,3,5,7
433,No,Travel_Rarely,45 - 54,Sales,Marketing,580,Female,Sales Executive,Married,Yes,3,46,10,Bachelor's Degree,3,2,3,4,9071,2,19,3,3,1,15,3,3,2,1,2
434,No,Travel_Rarely,25 - 34,R&D,Life Sciences,581,Male,Manufacturing Director,Divorced,No,6,31,9,High School,3,3,3,2,10648,1,25,4,4,1,13,4,13,8,0,8
435,Yes,Travel_Rarely,25 - 34,R&D,Medical,582,Male,Manager,Married,Yes,2,33,15,High School,2,3,3,3,13610,7,12,3,4,0,15,4,7,6,7,7
436,Yes,Travel_Rarely,25 - 34,R&D,Medical,584,Male,Laboratory Technician,Divorced,No,2,33,10,High School,1,1,1,4,3408,7,13,3,1,3,8,3,4,3,1,3
437,No,Travel_Rarely,25 - 34,Sales,Marketing,585,Male,Sales Representative,Single,No,3,30,7,High School,4,3,1,2,2983,0,14,3,1,0,4,3,3,2,1,2
438,No,Travel_Rarely,35 - 44,R&D,Life Sciences,586,Male,Healthcare Representative,Married,Yes,2,35,16,Bachelor's Degree,4,3,3,3,7632,4,12,3,3,0,10,3,8,7,0,0
439,Yes,Travel_Frequently,25 - 34,R&D,Life Sciences,587,Male,Healthcare Representative,Married,No,2,31,20,Bachelor's Degree,1,3,3,3,9824,3,12,3,1,0,12,3,1,0,0,0
440,Yes,Travel_Frequently,25 - 34,HR,Human Resources,590,Female,Human Resources,Divorced,Yes,2,34,23,Bachelor's Degree,2,3,3,1,9950,9,15,3,3,3,11,3,3,2,0,2
441,No,Travel_Frequently,35 - 44,R&D,Other,591,Male,Laboratory Technician,Married,No,4,42,5,Associates Degree,2,3,1,3,2093,4,17,3,4,1,8,3,2,2,2,0
442,No,Non-Travel,35 - 44,Sales,Medical,592,Male,Sales Executive,Single,No,3,36,10,Master's Degree,2,3,3,4,9980,1,14,3,4,0,10,2,10,3,9,7
443,Yes,Travel_Frequently,Under 25,R&D,Technical Degree,593,Male,Laboratory Technician,Single,No,3,22,4,High School,3,2,1,3,3894,5,16,3,3,0,4,3,2,2,1,2
444,No,Travel_Rarely,45 - 54,Sales,Marketing,595,Female,Sales Executive,Married,No,2,48,2,Doctoral Degree,2,3,2,4,4051,2,14,3,1,1,14,3,9,7,6,7
445,No,Travel_Rarely,Over 55,Sales,Life Sciences,597,Female,Manager,Single,No,2,55,18,Doctoral Degree,1,3,4,2,16835,3,23,4,4,0,37,3,10,9,7,7
446,No,Non-Travel,35 - 44,Sales,Life Sciences,599,Male,Sales Executive,Single,No,3,41,10,Associates Degree,4,3,2,4,6230,7,14,3,4,0,16,3,14,3,1,10
447,No,Travel_Rarely,35 - 44,Sales,Marketing,600,Male,Sales Executive,Married,No,2,35,1,Bachelor's Degree,2,3,2,3,4717,9,11,3,3,0,15,3,11,9,6,9
448,No,Travel_Rarely,35 - 44,R&D,Life Sciences,601,Female,Manufacturing Director,Single,No,3,40,6,Bachelor's Degree,2,3,4,3,13237,7,15,3,3,0,22,3,20,6,5,13
449,No,Travel_Frequently,35 - 44,R&D,Life Sciences,602,Female,Laboratory Technician,Married,No,3,39,8,High School,3,3,1,3,3755,1,11,3,1,1,8,3,8,3,0,7
450,No,Travel_Rarely,25 - 34,Sales,Life Sciences,604,Male,Sales Executive,Single,Yes,2,31,2,High School,2,3,2,4,6582,4,13,3,3,0,10,4,6,5,0,5
451,No,Travel_Rarely,35 - 44,R&D,Medical,605,Male,Manufacturing Director,Married,Yes,5,42,24,Bachelor's Degree,4,3,3,1,7406,1,21,4,4,1,10,2,10,9,5,8
452,No,Travel_Rarely,45 - 54,Sales,Other,606,Male,Sales Executive,Married,No,3,45,2,Bachelor's Degree,4,3,2,2,4805,0,19,3,2,1,9,4,8,7,3,7
453,Yes,Travel_Frequently,25 - 34,HR,Life Sciences,608,Female,Human Resources,Divorced,Yes,2,26,17,Master's Degree,2,3,1,3,2741,0,11,3,2,1,8,2,7,7,1,0
454,No,Travel_Rarely,25 - 34,R&D,Technical Degree,611,Male,Manufacturing Director,Divorced,No,2,29,19,Bachelor's Degree,4,3,2,4,4262,4,12,3,2,2,8,4,3,2,1,2
455,No,Travel_Rarely,25 - 34,R&D,Medical,612,Female,Research Director,Divorced,No,2,33,1,Doctoral Degree,1,4,4,3,16184,4,19,3,3,1,10,3,6,1,0,5
456,No,Travel_Rarely,25 - 34,Sales,Life Sciences,613,Male,Manager,Divorced,No,3,31,7,Bachelor's Degree,3,2,3,4,11557,9,21,4,3,1,10,2,5,4,0,1
457,Yes,Travel_Frequently,Under 25,Sales,Marketing,614,Male,Sales Representative,Single,Yes,3,18,5,Bachelor's Degree,2,3,1,2,1878,1,14,3,4,0,0,3,0,0,0,0
458,No,Non-Travel,35 - 44,Sales,Other,615,Male,Sales Executive,Divorced,No,2,40,28,Bachelor's Degree,3,1,3,1,10932,3,15,3,3,1,20,3,1,0,0,1
459,No,Non-Travel,35 - 44,R&D,Other,616,Female,Healthcare Representative,Single,Yes,3,41,2,Master's Degree,1,2,2,3,6811,2,17,3,1,0,10,3,8,7,0,7
460,No,Travel_Rarely,25 - 34,Sales,Medical,618,Male,Sales Executive,Divorced,No,5,26,29,Associates Degree,1,3,2,3,4306,5,12,3,1,2,8,3,0,0,0,0
461,No,Travel_Rarely,35 - 44,Sales,Medical,620,Female,Sales Executive,Single,No,3,35,1,Bachelor's Degree,1,3,2,3,4859,1,16,3,4,0,5,3,5,4,0,3
462,No,Travel_Rarely,25 - 34,Sales,Life Sciences,621,Male,Sales Executive,Single,No,3,34,21,Master's Degree,4,4,2,4,5337,1,12,3,4,0,10,3,10,7,5,7
463,Yes,Travel_Rarely,25 - 34,R&D,Technical Degree,622,Male,Laboratory Technician,Single,Yes,3,26,24,Bachelor's Degree,3,1,1,4,2340,1,18,3,2,0,1,1,1,0,0,0
464,No,Travel_Rarely,35 - 44,R&D,Technical Degree,623,Female,Manufacturing Director,Single,No,3,37,1,Bachelor's Degree,2,3,3,4,7491,4,17,3,4,0,12,4,6,5,1,2
465,No,Travel_Frequently,45 - 54,R&D,Medical,624,Female,Healthcare Representative,Married,No,3,46,18,High School,1,3,3,3,10527,5,11,3,4,0,28,2,2,2,1,2
466,No,Travel_Rarely,35 - 44,Sales,Life Sciences,625,Female,Manager,Married,No,2,41,2,Doctoral Degree,2,3,4,1,16595,7,16,3,2,1,22,3,18,16,11,8
467,No,Non-Travel,35 - 44,Sales,Medical,626,Male,Sales Executive,Divorced,No,6,37,9,Master's Degree,1,3,3,2,8834,1,13,3,4,1,9,3,9,5,7,7
468,No,Travel_Rarely,45 - 54,R&D,Technical Degree,630,Male,Research Scientist,Divorced,Yes,3,52,6,Associates Degree,4,3,2,1,5577,3,12,3,2,2,18,3,10,9,6,9
469,Yes,Non-Travel,25 - 34,Sales,Other,631,Male,Sales Executive,Married,No,2,32,11,Master's Degree,4,4,2,3,4707,8,12,3,4,0,6,3,4,2,1,2
470,No,Travel_Frequently,Under 25,Sales,Medical,632,Male,Sales Representative,Married,No,3,24,24,Bachelor's Degree,4,3,1,4,2400,0,13,3,3,2,3,3,2,2,2,1
471,No,Travel_Rarely,35 - 44,R&D,Medical,634,Female,Healthcare Representative,Married,No,4,38,10,Bachelor's Degree,3,3,2,3,9824,3,19,3,3,1,18,3,1,0,0,0
472,No,Travel_Rarely,35 - 44,R&D,Life Sciences,635,Female,Manufacturing Director,Married,No,2,37,1,Master's Degree,2,3,2,2,6447,6,12,3,2,1,8,2,6,5,4,3
473,No,Travel_Rarely,45 - 54,R&D,Life Sciences,638,Male,Research Director,Divorced,Yes,5,49,18,Master's Degree,4,2,5,3,19502,1,17,3,3,1,31,3,31,9,0,9
474,No,Travel_Rarely,Under 25,R&D,Medical,639,Male,Research Scientist,Married,Yes,3,24,23,Bachelor's Degree,2,4,1,4,2725,1,11,3,2,2,6,3,6,5,1,4
475,No,Travel_Rarely,25 - 34,Sales,Marketing,641,Male,Sales Executive,Married,No,5,26,28,Associates Degree,1,3,2,2,6272,1,20,4,4,2,6,4,5,3,1,4
476,No,Travel_Rarely,Under 25,R&D,Other,643,Male,Laboratory Technician,Married,No,2,24,17,Associates Degree,4,2,1,2,2127,1,21,4,4,1,1,3,1,0,0,0
